Type,M,N,Cond,Norm1/Norm0,Norm2/Norm0,Norm3/Norm0,Norm4/Norm0,Norm5/Norm0,Norm6/Norm0,Norm7/Norm0,Norm8/Norm0,Norm9/Norm0,Norm10/Norm0,Norm11/Norm0,Norm12/Norm0,Norm13/Norm0,Norm14/Norm0,Norm15/Norm0,Norm16/Norm0,Norm17/Norm0,Norm18/Norm0,Norm19/Norm0,Norm20/Norm0,Iter1
2,16384,128,1000,0.411523,0.189555,0.097901,0.0447692,0.0218868,0.01033,0.00467573,0.00241575,0.00120151,0.000565392,0.000254778,0.000136978,5.29E-05,2.54E-05,1.16E-05,5.07E-06,2.32E-06,1.18E-06,6.26E-07,3.26E-07,1
3,16384,128,1000,0.222793,0.0598655,0.0128205,0.0024472,0.000513839,0.000126544,2.64E-05,5.58E-06,1.21E-06,2.64E-07,6.29E-08,1.48E-08,3.06E-09,6.92E-10,1.46E-10,3.09E-11,6.63E-12,1.55E-12,3.60E-13,0,1
4,16384,128,1000,0.111846,0.0133796,0.00163518,0.000171748,1.85E-05,2.31E-06,2.54E-07,2.90E-08,3.44E-09,4.21E-10,4.55E-11,5.11E-12,6.01E-13,0,0,0,0,0,0,0,1
1,16384,256,1000,0.127728,0.0169041,0.00206423,0.000264396,3.47E-05,4.26E-06,5.25E-07,7.07E-08,8.94E-09,1.10E-09,1.49E-10,1.88E-11,2.19E-12,2.71E-13,0,0,0,0,0,0,2
2,16384,256,1000,0.480465,0.294798,0.235611,0.184036,0.142712,0.145438,0.127668,0.114034,0.100582,0.0903537,0.0797123,0.069206,0.0679191,0.070881,0.0668807,0.0635191,0.0626078,0.0605901,0.0567406,0.0504941,7
3,16384,256,1000,0.284541,0.0865356,0.027156,0.00888244,0.00297484,0.000965892,0.000311742,9.67E-05,2.95E-05,9.44E-06,3.06E-06,9.43E-07,3.08E-07,1.01E-07,3.25E-08,9.95E-09,3.10E-09,9.95E-10,2.98E-10,8.16E-11,2
4,16384,256,1000,0.155205,0.0291369,0.00481611,0.000800715,0.000135125,2.35E-05,4.11E-06,6.97E-07,1.08E-07,1.81E-08,2.92E-09,4.73E-10,7.95E-11,1.25E-11,1.91E-12,2.88E-13,0,0,0,0,2
1,16384,512,1000,0.175359,0.0310388,0.0054389,0.000912209,0.00015992,2.73E-05,4.83E-06,8.31E-07,1.48E-07,2.43E-08,4.16E-09,7.12E-10,1.24E-10,2.16E-11,3.60E-12,5.89E-13,0,0,0,0,2
2,16384,512,1000,0.365604,0.214437,0.117437,0.0619836,0.0282377,0.0139703,0.00802555,0.00416438,0.00261938,0.00225434,0.00345706,0.00709513,0.0133989,0.0243467,0.0495566,0.0994381,0.220763,0.393132,0.713155,0.997696,-1
3,16384,512,1000,0.394386,0.170733,0.0713179,0.0310155,0.0138747,0.00611072,0.0025585,0.00112963,0.000505884,0.00022822,9.42E-05,4.38E-05,1.98E-05,8.06E-06,3.58E-06,1.53E-06,7.00E-07,3.28E-07,1.46E-07,6.49E-08,2
4,16384,512,1000,0.231745,0.0550723,0.0124957,0.00293672,0.000660242,0.000149271,3.52E-05,8.43E-06,1.96E-06,4.42E-07,1.00E-07,2.33E-08,5.44E-09,1.23E-09,2.86E-10,6.54E-11,1.55E-11,3.54E-12,8.34E-13,0,2
